"Suicide rate, female (per 100,000 people, age-standardized)"
"Dimension: Human security"
"SDG 3.4 By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being"
"Definition: Number of deaths from purposely self-inflicted injuries, expressed per 100,000 people in the reference population. The rates are age-standardized."
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"128"," Nicaragua","8.0","","5.5","","5.1","","5.0",""
"189"," Niger","7.0","","7.2","","6.7","","6.7",""
"161"," Nigeria","20.6","","20.1","","17.6","","17.1",""
"82"," North Macedonia","4.1","","2.6","","3.0","","3.0",""
"1"," Norway","6.0","","6.5","","7.0","","6.5",""
"60"," Oman","1.6","","1.0","","1.0","","0.9",""
"154"," Pakistan","4.4","","3.5","","3.2","","3.1",""
"57"," Panama","1.6","","1.5","","1.4","","1.2",""
"155"," Papua New Guinea","5.0","","3.7","","3.8","","3.8",""
"103"," Paraguay","6.4","","6.0","","6.3","","6.2",""
"79"," Peru","3.3","","2.5","","2.7","","2.7",""
"107"," Philippines","1.8","","2.3","","2.3","","2.3",""
"35"," Poland","4.7","","3.7","","3.3","","3.4",""
"38"," Portugal","2.1","","4.2","","3.8","","3.8",""
"45"," Qatar","1.4","","1.1","","1.1","","1.1",""
"49"," Romania","3.8","","3.7","","2.5","","2.4",""
"52"," Russian Federation","13.7","","10.2","","7.9","","7.5",""
"160"," Rwanda","19.4","","7.2","","6.2","","6.0",""
"86"," Saint Lucia","2.4","","1.6","","2.1","","2.1",""
"97"," Saint Vincent and the Grenadines","0.9","","0.6","","1.1","","0.9",""
"111"," Samoa","4.6","","2.6","","2.2","","2.2",""
"135"," Sao Tome and Principe","1.7","","1.9","","2.1","","2.1",""
"40"," Saudi Arabia","1.4","","1.7","","1.7","","1.7",""
"168"," Senegal","6.8","","6.2","","5.4","","5.2",""
"64"," Serbia","9.1","","5.2","","5.2","","5.2",""
"67"," Seychelles","2.5","","2.2","","2.1","","2.1",""
"182"," Sierra Leone","16.6","","14.3","","13.9","","14.2",""
"11"," Singapore","8.1","","6.0","","5.2","","4.9",""
"39"," Slovakia","4.4","","3.1","","2.6","","2.6",""
"22"," Slovenia","13.2","","5.1","","5.8","","4.5",""
"151"," Solomon Islands","8.4","","4.2","","3.4","","3.2",""
".."," Somalia","5.6","","5.2","","5.4","","5.4",""
"114"," South Africa","7.1","","6.1","","5.3","","5.1",""
"185"," South Sudan","5.3","","4.5","","4.0","","4.1",""
"25"," Spain","3.0","","2.2","","3.0","","3.1",""
"72"," Sri Lanka","13.5","","8.4","","6.1","","6.2",""
"170"," Sudan","4.4","","4.6","","4.5","","4.6",""
"97"," Suriname","11.6","","13.3","","11.4","","10.9",""
"7"," Sweden","7.7","","6.8","","7.7","","7.4",""
"2"," Switzerland","9.4","","7.0","","6.9","","6.9",""
"151"," Syrian Arab Republic","0.8","","1.1","","1.1","","1.1",""
"125"," Tajikistan","2.2","","1.8","","1.8","","1.7",""
"163"," Tanzania (United Republic of)","6.4","","5.2","","5.3","","5.4",""
"79"," Thailand","8.3","","5.5","","4.9","","4.8",""
"141"," Timor-Leste","8.3","","4.7","","3.8","","3.7",""
"167"," Togo","11.8","","11.2","","10.7","","10.9",""
"104"," Tonga","3.9","","3.1","","2.9","","2.9",""
"67"," Trinidad and Tobago","6.4","","5.4","","4.4","","4.3",""
"95"," Tunisia","2.3","","2.3","","2.2","","2.2",""
"54"," Turkey","2.9","","3.8","","3.3","","3.2",""
"111"," Turkmenistan","4.0","","3.6","","3.8","","3.7",""
"159"," Uganda","23.9","","22.0","","19.2","","18.7",""
"74"," Ukraine","9.5","","6.4","","5.1","","4.7",""
"31"," United Arab Emirates","1.5","","0.9","","0.8","","0.8",""
"13"," United Kingdom","3.8","","3.2","","3.7","","3.5",""
"17"," United States","4.1","","5.2","","6.3","","6.4",""
"55"," Uruguay","5.5","","6.7","","7.0","","7.1",""
